command:	/home/__User_Directory__/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1340 -ni .list.sam.normal -nl 1340 32
Job start:	20230309_15-23-54

log: normal_stp2ff-1/13	 [ filesize =	190410 ] generated
log: normal_stp2ff-2/13	 [ filesize =	60345 ] generated
log: normal_stp2ff-3/13	 [ filesize =	23753 ] generated
log: normal_stp2ff-4/13	 [ filesize =	19293 ] generated
log: normal_stp2rr-1/13	 [ filesize =	216146 ] generated
log: normal_stp2rr-2/13	 [ filesize =	60563 ] generated
log: normal_stp2fr-1/13	 [ filesize =	74572 ] generated
log: normal_stp2rr-3/13	 [ filesize =	21566 ] generated
log: normal_stp2fr-2/13	 [ filesize =	27488 ] generated
log: normal_stp2ff-5/13	 [ filesize =	18554 ] generated
log: normal_stp2tr-1/28	 [ filesize =	3732477 ] generated
log: normal_stp2tr-2/28	 [ filesize =	673888 ] generated
log: normal_stp2tr-3/28	 [ filesize =	503257 ] generated
log: normal_stp2fr-3/13	 [ filesize =	23774 ] generated
log: normal_stp2fr-4/13	 [ filesize =	23774 ] generated
log: normal_stp2fr-5/13	 [ filesize =	6070 ] generated
log: normal_stp2rr-4/13	 [ filesize =	18573 ] generated
log: normal_stp2rr-5/13	 [ filesize =	17831 ] generated
log: normal_stp2tr-4/28	 [ filesize =	489909 ] generated
log: normal_stp2tr-5/28	 [ filesize =	90954 ] generated
log: normal_stp2rf-1/16	 [ filesize =	627340 ] generated
log: normal_stp2rr-6a/13	 [ filesize =	3423 ] generated
log: normal_stp2rf-2/16	 [ filesize =	320449 ] generated
log: normal_stp2ff-6a/13	 [ filesize =	3362 ] generated
log: normal_stp2rr-6b/13	 [ filesize =	3336 ] generated
log: normal_stp2ff-6b/13	 [ filesize =	3482 ] generated
log: normal_stp2tr-6/28	 [ filesize =	97504 ] generated
log: normal_stp2rf-3/16	 [ filesize =	201220 ] generated
log: normal_stp2rf-4/16	 [ filesize =	184195 ] generated
log: normal_stp2tr-7/28	 [ filesize =	481977 ] generated
log: normal_stp2ff-7a/13	 [ filesize =	3395 ] generated
log: normal_stp2ff-7b/13	 [ filesize =	3525 ] generated
log: normal_stp2rf-5/16	 [ filesize =	177504 ] generated
log: normal_stp2rr-7a/13	 [ filesize =	3440 ] generated
log: normal_stp2rr-7b/13	 [ filesize =	3353 ] generated
log: normal_stp2ff-8a/13	 [ filesize =	9164 ] generated
log: normal_stp2ff-8b/13	 [ filesize =	9240 ] generated
log: normal_stp2rf-6/16	 [ filesize =	30054 ] generated
log: normal_stp2rr-8a/13	 [ filesize =	8846 ] generated
log: normal_stp2rr-8b/13	 [ filesize =	8841 ] generated
log: normal_stp2rf-7/16	 [ filesize =	29899 ] generated
log: normal_stp2fr-6/13	 [ filesize =	6068 ] generated
log: normal_stp2fr-7/13	 [ filesize =	23582 ] generated
log: normal_stp2rr-9a/13	 [ filesize =	0 ] generated
log: normal_stp2ff-9a/13	 [ filesize =	0 ] generated
log: normal_stp2rr-9b/13	 [ filesize =	0 ] generated
log: normal_stp2ff-9b/13	 [ filesize =	0 ] generated
log: normal_stp2rf-8/16	 [ filesize =	176064 ] generated
log: normal_stp2fr-8/13	 [ filesize =	11857 ] generated
log: normal_stp2rf-9/16	 [ filesize =	88650 ] generated
log: normal_stp2tr-9/28	 [ filesize =	134112 ] generated
log: normal_stp2fr-9/13	 [ filesize =	3425 ] generated
log: normal_stp2rf-10/16	 [ filesize =	4545 ] generated
log: normal_stp2rf-11/16	 [ filesize =	4549 ] generated
log: normal_stp2fr-10/13	 [ filesize =	4208 ] generated
log: normal_stp2rr-10/13	 [ filesize =	0 ] generated
log: normal_stp2fr-11/13	 [ filesize =	0 ] generated
log: normal_stp2ff-10/13	 [ filesize =	0 ] generated
log: normal_stp2fr-12/13	 [ filesize =	0 ] generated
log: normal_stp2rr-11/13	 [ filesize =	0 ] generated
log: normal_stp2rf-12/16	 [ filesize =	2665 ] generated
log: normal_stp2ff-11/13	 [ filesize =	0 ] generated
log: normal_stp2fr-12.5/13	 [ filesize =	0 ] generated
log: normal_stp2rr-12/13	 [ filesize =	0 ] generated
log: normal_stp2ff-12/13	 [ filesize =	0 ] generated
log: normal_stp2fr-13/13	 [ filesize =	0 ] generated
log: normal_stp2rr-13/13	 [ filesize =	0 ] generated
log: normal_stp2ff-13/13	 [ filesize =	0 ] generated
log: normal_stp2rf-13/16	 [ filesize =	2662 ] generated
log: normal_stp2rf-14/16	 [ filesize =	0 ] generated
log: normal_stp2rf-15/16	 [ filesize =	0 ] generated
log: normal_stp2rf-15.5/16	 [ filesize =	0 ] generated
log: normal_stp2rf-16/16	 [ filesize =	0 ] generated
log: normal_stp2tr-8/28	 [ filesize =	126648 ] generated
log: normal_stp2tr-10/28	 [ filesize =	1527 ] generated
log: normal_stp2tr-11/28	 [ filesize =	8279 ] generated
log: tumor_stp2fr-1/13	 [ filesize =	635640 ] generated
log: tumor_stp2fr-2/13	 [ filesize =	581857 ] generated
log: normal_stp2tr-12/28	 [ filesize =	1521 ] generated
log: tumor_stp2fr-3/13	 [ filesize =	565447 ] generated
log: normal_stp2tr-15/28	 [ filesize =	0 ] generated
log: tumor_stp2fr-4/13	 [ filesize =	553522 ] generated
log: normal_stp2tr-16/28	 [ filesize =	0 ] generated
log: normal_stp2tr-14/28	 [ filesize =	0 ] generated
log: normal_stp2tr-13/28	 [ filesize =	3755 ] generated
log: normal_stp2tr-17/28	 [ filesize =	0 ] generated
log: normal_stp2tr-22/28	 [ filesize =	0 ] generated
log: normal_stp2tr-23/28	 [ filesize =	0 ] generated
log: normal_stp2tr-23.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-24/28	 [ filesize =	0 ] generated
log: tumor_stp2tr-1/28	 [ filesize =	6305338 ] generated
log: tumor_stp2fr-5/13	 [ filesize =	89246 ] generated
log: tumor_stp2ff-1/13	 [ filesize =	693734 ] generated
log: tumor_stp2rf-1/16	 [ filesize =	1362729 ] generated
log: tumor_stp2ff-2/13	 [ filesize =	503920 ] generated
log: tumor_stp2fr-6/13	 [ filesize =	63490 ] generated
log: tumor_stp2rr-1/13	 [ filesize =	748843 ] generated
log: tumor_stp2tr-2/28	 [ filesize =	2065463 ] generated
log: tumor_stp2rf-2/16	 [ filesize =	1007307 ] generated
log: tumor_stp2ff-3/13	 [ filesize =	447096 ] generated
log: tumor_stp2rr-2/13	 [ filesize =	562524 ] generated
log: tumor_stp2fr-7/13	 [ filesize =	549064 ] generated
log: tumor_stp2rf-3/16	 [ filesize =	811616 ] generated
log: tumor_stp2ff-4/13	 [ filesize =	428426 ] generated
log: tumor_stp2rr-3/13	 [ filesize =	495110 ] generated
log: tumor_stp2ff-5/13	 [ filesize =	407541 ] generated
log: tumor_stp2rr-4/13	 [ filesize =	483932 ] generated
log: tumor_stp2tr-3/28	 [ filesize =	1747097 ] generated
log: tumor_stp2rr-5/13	 [ filesize =	460096 ] generated
log: tumor_stp2rf-4/16	 [ filesize =	778887 ] generated
log: normal_stp2tr-18/28	 [ filesize =	0 ] generated
log: normal_stp2tr-25/28	 [ filesize =	0 ] generated
log: tumor_stp2rf-5/16	 [ filesize =	752100 ] generated
log: normal_stp2tr-26/28	 [ filesize =	0 ] generated
log: normal_stp2tr-19/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20.5/28	 [ filesize =	0 ] generated
log: tumor_stp2rr-6a/13	 [ filesize =	37273 ] generated
log: tumor_stp2rr-6b/13	 [ filesize =	37311 ] generated
log: tumor_stp2rf-6/16	 [ filesize =	126750 ] generated
log: tumor_stp2tr-4/28	 [ filesize =	1715974 ] generated
log: tumor_stp2fr-8/13	 [ filesize =	276417 ] generated
log: tumor_stp2ff-6a/13	 [ filesize =	34242 ] generated
log: tumor_stp2ff-6b/13	 [ filesize =	34978 ] generated
log: normal_stp2tr-21/28	 [ filesize =	0 ] generated
log: tumor_stp2rr-7a/13	 [ filesize =	30132 ] generated
log: tumor_stp2fr-9/13	 [ filesize =	268205 ] generated
log: tumor_stp2rr-7b/13	 [ filesize =	29513 ] generated
log: normal_stp2tr-27/28	 [ filesize =	0 ] generated
log: normal_stp2tr-27.5/28	 [ filesize =	0 ] generated
log: tumor_stp2fr-10/13	 [ filesize =	268847 ] generated
log: normal_stp2tr-28/28	 [ filesize =	0 ] generated
log: tumor_stp2rr-8a/13	 [ filesize =	228028 ] generated
log: tumor_stp2rr-8b/13	 [ filesize =	228360 ] generated
log: tumor_stp2fr-11/13	 [ filesize =	512493 ] generated
log: tumor_stp2ff-7a/13	 [ filesize =	27462 ] generated
log: tumor_stp2rf-7/16	 [ filesize =	101338 ] generated
log: tumor_stp2ff-7b/13	 [ filesize =	28324 ] generated
log: tumor_stp2fr-12/13	 [ filesize =	511002 ] generated
log: tumor_stp2ff-8a/13	 [ filesize =	201773 ] generated
log: tumor_stp2rr-9a/13	 [ filesize =	203995 ] generated
log: tumor_stp2ff-8b/13	 [ filesize =	202486 ] generated
log: tumor_stp2rr-9b/13	 [ filesize =	203869 ] generated
log: tumor_stp2fr-12.5/13	 [ filesize =	511002 ] generated
log: tumor_stp2fr-13/13	 [ filesize =	511002 ] generated
log: tumor_stp2tr-5/28	 [ filesize =	309597 ] generated
log: tumor_stp2rf-8/16	 [ filesize =	746028 ] generated
log: tumor_stp2rr-10/13	 [ filesize =	437986 ] generated
log: tumor_stp2ff-9a/13	 [ filesize =	176772 ] generated
log: tumor_stp2ff-9b/13	 [ filesize =	177248 ] generated
log: tumor_stp2rr-11/13	 [ filesize =	395201 ] generated
log: tumor_stp2tr-6/28	 [ filesize =	314533 ] generated
log: tumor_stp2rr-12/13	 [ filesize =	395201 ] generated
log: tumor_stp2rf-9/16	 [ filesize =	376188 ] generated
log: tumor_stp2rr-13/13	 [ filesize =	395201 ] generated
log: tumor_stp2rf-10/16	 [ filesize =	228244 ] generated
log: tumor_stp2tr-7/28	 [ filesize =	1688194 ] generated
log: tumor_stp2rf-11/16	 [ filesize =	227922 ] generated
log: tumor_stp2rf-12/16	 [ filesize =	225955 ] generated
log: tumor_stp2rf-13/16	 [ filesize =	225255 ] generated
log: tumor_stp2rf-14/16	 [ filesize =	481768 ] generated
log: tumor_stp2tr-9/28	 [ filesize =	389733 ] generated
log: tumor_stp2rf-15/16	 [ filesize =	439703 ] generated
log: tumor_stp2ff-10/13	 [ filesize =	358311 ] generated
log: tumor_stp2rf-15.5/16	 [ filesize =	439703 ] generated
log: tumor_stp2rf-16/16	 [ filesize =	439703 ] generated
log: tumor_stp2ff-11/13	 [ filesize =	350103 ] generated
log: tumor_stp2ff-12/13	 [ filesize =	350103 ] generated
log: tumor_stp2ff-13/13	 [ filesize =	350103 ] generated
log: tumor_stp2tr-12/28	 [ filesize =	45693 ] generated
log: tumor_stp2tr-13/28	 [ filesize =	105283 ] generated
log: tumor_stp2tr-8/28	 [ filesize =	431822 ] generated
log: tumor_stp2tr-10/28	 [ filesize =	93670 ] generated
log: tumor_stp2tr-11/28	 [ filesize =	100100 ] generated
log: tumor_stp2tr-14/28	 [ filesize =	40353 ] generated
log: tumor_stp2tr-18/28	 [ filesize =	88076 ] generated
log: tumor_stp2tr-19/28	 [ filesize =	44038 ] generated
log: tumor_stp2tr-20/28	 [ filesize =	40328 ] generated
log: tumor_stp2tr-20.5/28	 [ filesize =	40328 ] generated
log: tumor_stp2tr-21/28	 [ filesize =	40328 ] generated
log: tumor_stp2tr-17/28	 [ filesize =	93279 ] generated
log: tumor_stp2tr-25/28	 [ filesize =	202196 ] generated
log: tumor_stp2tr-26/28	 [ filesize =	101098 ] generated
log: tumor_stp2tr-15/28	 [ filesize =	82662 ] generated
log: tumor_stp2tr-27/28	 [ filesize =	93259 ] generated
log: tumor_stp2tr-27.5/28	 [ filesize =	93259 ] generated
log: tumor_stp2tr-28/28	 [ filesize =	93259 ] generated
