command:	/home/icgc/WORK/adachi/TOOL/revisePckg/clone0308_callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230524_20-00-42

log: normal_stp2rf-15.5/16	 [ filesize =	996566 ] generated
log: normal_stp2fr-12/13	 [ filesize =	1505081 ] generated
log: tumor_stp2ff-8a/13	 [ filesize =	752740 ] generated
log: tumor_stp2ff-8b/13	 [ filesize =	756635 ] generated
log: normal_stp2rr-11/13	 [ filesize =	945566 ] generated
log: normal_stp2ff-12/13	 [ filesize =	979898 ] generated
log: tumor_stp2fr-10/13	 [ filesize =	622638 ] generated
log: normal_stp2ff-13/13	 [ filesize =	979898 ] generated
log: normal_stp2rf-16/16	 [ filesize =	996566 ] generated
log: normal_stp2rr-12/13	 [ filesize =	945566 ] generated
log: normal_stp2rr-13/13	 [ filesize =	945566 ] generated
log: tumor_stp2fr-11/13	 [ filesize =	1414983 ] generated
log: tumor_stp2rr-6a/13	 [ filesize =	82396 ] generated
log: tumor_stp2rr-6b/13	 [ filesize =	82045 ] generated
log: tumor_stp2tr-5/28	 [ filesize =	160856 ] generated
log: normal_stp2fr-12.5/13	 [ filesize =	1505081 ] generated
log: normal_stp2fr-13/13	 [ filesize =	1505081 ] generated
log: tumor_stp2fr-12/13	 [ filesize =	1224715 ] generated
log: tumor_stp2tr-6/28	 [ filesize =	115794 ] generated
log: tumor_stp2rr-7a/13	 [ filesize =	54506 ] generated
log: tumor_stp2rr-7b/13	 [ filesize =	53733 ] generated
log: tumor_stp2tr-7/28	 [ filesize =	1750188 ] generated
log: tumor_stp2ff-9a/13	 [ filesize =	758688 ] generated
log: tumor_stp2ff-9b/13	 [ filesize =	762565 ] generated
log: tumor_stp2fr-12.5/13	 [ filesize =	1224715 ] generated
log: tumor_stp2fr-13/13	 [ filesize =	1224715 ] generated
log: tumor_stp2rr-8a/13	 [ filesize =	728595 ] generated
log: tumor_stp2rr-8b/13	 [ filesize =	730290 ] generated
log: tumor_stp2ff-10/13	 [ filesize =	1776573 ] generated
log: tumor_stp2tr-9/28	 [ filesize =	641800 ] generated
log: tumor_stp2rr-9a/13	 [ filesize =	734805 ] generated
log: tumor_stp2rr-9b/13	 [ filesize =	736530 ] generated
log: tumor_stp2ff-11/13	 [ filesize =	1521182 ] generated
log: tumor_stp2rr-10/13	 [ filesize =	1471173 ] generated
log: tumor_stp2rr-11/13	 [ filesize =	1471173 ] generated
log: tumor_stp2ff-12/13	 [ filesize =	1521182 ] generated
log: tumor_stp2rr-12/13	 [ filesize =	1471173 ] generated
log: tumor_stp2rr-13/13	 [ filesize =	1471173 ] generated
log: tumor_stp2ff-13/13	 [ filesize =	1521182 ] generated
log: tumor_stp2rf-7/16	 [ filesize =	94215 ] generated
log: tumor_stp2rf-8/16	 [ filesize =	1442481 ] generated
log: tumor_stp2rf-9/16	 [ filesize =	727168 ] generated
log: tumor_stp2rf-10/16	 [ filesize =	727770 ] generated
log: tumor_stp2rf-11/16	 [ filesize =	727657 ] generated
log: tumor_stp2rf-12/16	 [ filesize =	727770 ] generated
log: tumor_stp2rf-13/16	 [ filesize =	727657 ] generated
log: tumor_stp2rf-14/16	 [ filesize =	1584905 ] generated
log: tumor_stp2rf-15/16	 [ filesize =	1455325 ] generated
log: tumor_stp2rf-15.5/16	 [ filesize =	1455325 ] generated
log: tumor_stp2rf-16/16	 [ filesize =	1455325 ] generated
log: normal_stp2tr-8/28	 [ filesize =	1913 ] generated
log: normal_stp2tr-10/28	 [ filesize =	1168 ] generated
log: normal_stp2tr-11/28	 [ filesize =	1137 ] generated
log: normal_stp2tr-15/28	 [ filesize =	0 ] generated
log: normal_stp2tr-16/28	 [ filesize =	0 ] generated
log: normal_stp2tr-22/28	 [ filesize =	0 ] generated
log: normal_stp2tr-23/28	 [ filesize =	0 ] generated
log: normal_stp2tr-23.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-24/28	 [ filesize =	0 ] generated
log: normal_stp2tr-13/28	 [ filesize =	73511 ] generated
log: normal_stp2tr-12/28	 [ filesize =	45876 ] generated
log: tumor_stp2tr-13/28	 [ filesize =	603302 ] generated
log: normal_stp2tr-14/28	 [ filesize =	45876 ] generated
log: normal_stp2tr-18/28	 [ filesize =	91740 ] generated
log: normal_stp2tr-17/28	 [ filesize =	71141 ] generated
log: normal_stp2tr-19/28	 [ filesize =	45870 ] generated
log: normal_stp2tr-25/28	 [ filesize =	142258 ] generated
log: normal_stp2tr-20/28	 [ filesize =	45870 ] generated
log: normal_stp2tr-20.5/28	 [ filesize =	45870 ] generated
log: normal_stp2tr-26/28	 [ filesize =	71129 ] generated
log: normal_stp2tr-27/28	 [ filesize =	71129 ] generated
log: tumor_stp2tr-12/28	 [ filesize =	641581 ] generated
log: normal_stp2tr-21/28	 [ filesize =	45870 ] generated
log: normal_stp2tr-27.5/28	 [ filesize =	71129 ] generated
log: normal_stp2tr-28/28	 [ filesize =	71129 ] generated
log: tumor_stp2tr-8/28	 [ filesize =	266792 ] generated
log: tumor_stp2tr-17/28	 [ filesize =	603302 ] generated
