command:	/home/__User_Directory__/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230309_15-29-52

log: tumor_stp2fr-1/13	 [ filesize =	595441 ] generated
log: tumor_stp2rf-3/16	 [ filesize =	781194 ] generated
log: tumor_stp2fr-2/13	 [ filesize =	537149 ] generated
log: tumor_stp2ff-6a/13	 [ filesize =	35296 ] generated
log: tumor_stp2rf-4/16	 [ filesize =	744036 ] generated
log: tumor_stp2fr-3/13	 [ filesize =	525252 ] generated
log: tumor_stp2ff-6b/13	 [ filesize =	36102 ] generated
log: tumor_stp2rr-6a/13	 [ filesize =	35681 ] generated
log: normal_stp2tr-26/28	 [ filesize =	0 ] generated
log: tumor_stp2rr-6b/13	 [ filesize =	35589 ] generated
log: normal_stp2tr-19/28	 [ filesize =	0 ] generated
log: tumor_stp2fr-4/13	 [ filesize =	518546 ] generated
log: tumor_stp2rf-5/16	 [ filesize =	735890 ] generated
log: normal_stp2tr-27/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20/28	 [ filesize =	0 ] generated
log: normal_stp2tr-27.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20.5/28	 [ filesize =	0 ] generated
log: tumor_stp2ff-7a/13	 [ filesize =	28088 ] generated
log: tumor_stp2ff-7b/13	 [ filesize =	29272 ] generated
log: normal_stp2tr-28/28	 [ filesize =	0 ] generated
log: normal_stp2tr-21/28	 [ filesize =	0 ] generated
log: tumor_stp2fr-5/13	 [ filesize =	83282 ] generated
log: tumor_stp2ff-8a/13	 [ filesize =	209564 ] generated
log: tumor_stp2ff-8b/13	 [ filesize =	210281 ] generated
log: tumor_stp2fr-6/13	 [ filesize =	59376 ] generated
log: tumor_stp2tr-1/28	 [ filesize =	6482690 ] generated
log: tumor_stp2fr-7/13	 [ filesize =	514370 ] generated
log: tumor_stp2ff-9a/13	 [ filesize =	180112 ] generated
log: tumor_stp2ff-9b/13	 [ filesize =	180963 ] generated
log: tumor_stp2tr-2/28	 [ filesize =	2112976 ] generated
log: tumor_stp2ff-10/13	 [ filesize =	359303 ] generated
log: tumor_stp2ff-11/13	 [ filesize =	350727 ] generated
log: tumor_stp2tr-3/28	 [ filesize =	1781773 ] generated
log: tumor_stp2ff-12/13	 [ filesize =	350727 ] generated
log: tumor_stp2fr-8/13	 [ filesize =	259049 ] generated
log: tumor_stp2ff-13/13	 [ filesize =	350727 ] generated
log: tumor_stp2fr-9/13	 [ filesize =	246909 ] generated
log: tumor_stp2fr-10/13	 [ filesize =	247698 ] generated
log: tumor_stp2fr-11/13	 [ filesize =	481494 ] generated
log: tumor_stp2fr-12/13	 [ filesize =	481122 ] generated
log: tumor_stp2rf-6/16	 [ filesize =	124296 ] generated
log: tumor_stp2tr-4/28	 [ filesize =	1755809 ] generated
log: tumor_stp2rf-7/16	 [ filesize =	100408 ] generated
log: tumor_stp2rf-8/16	 [ filesize =	729950 ] generated
log: tumor_stp2rf-9/16	 [ filesize =	368021 ] generated
log: tumor_stp2rf-10/16	 [ filesize =	214475 ] generated
log: tumor_stp2rf-11/16	 [ filesize =	214688 ] generated
log: tumor_stp2rf-12/16	 [ filesize =	211842 ] generated
log: tumor_stp2rf-13/16	 [ filesize =	211287 ] generated
log: tumor_stp2rf-14/16	 [ filesize =	450963 ] generated
log: tumor_stp2tr-5/28	 [ filesize =	317991 ] generated
log: tumor_stp2rf-15/16	 [ filesize =	409306 ] generated
log: tumor_stp2rf-15.5/16	 [ filesize =	409306 ] generated
log: tumor_stp2rf-16/16	 [ filesize =	409306 ] generated
log: tumor_stp2tr-6/28	 [ filesize =	321075 ] generated
log: tumor_stp2tr-7/28	 [ filesize =	1727381 ] generated
log: tumor_stp2fr-12.5/13	 [ filesize =	481122 ] generated
log: tumor_stp2fr-13/13	 [ filesize =	481122 ] generated
log: tumor_stp2tr-9/28	 [ filesize =	389684 ] generated
log: tumor_stp2rr-7a/13	 [ filesize =	28591 ] generated
log: tumor_stp2rr-7b/13	 [ filesize =	27694 ] generated
log: tumor_stp2rr-8a/13	 [ filesize =	220573 ] generated
log: tumor_stp2rr-8b/13	 [ filesize =	220916 ] generated
log: tumor_stp2rr-9a/13	 [ filesize =	201271 ] generated
log: tumor_stp2rr-9b/13	 [ filesize =	201935 ] generated
log: tumor_stp2rr-10/13	 [ filesize =	441651 ] generated
log: tumor_stp2rr-11/13	 [ filesize =	398894 ] generated
log: tumor_stp2rr-12/13	 [ filesize =	398894 ] generated
log: tumor_stp2rr-13/13	 [ filesize =	398894 ] generated
log: tumor_stp2tr-8/28	 [ filesize =	437733 ] generated
log: tumor_stp2tr-10/28	 [ filesize =	88203 ] generated
log: tumor_stp2tr-11/28	 [ filesize =	89215 ] generated
